"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1981638609838195120","Sun Oct 26 01:32:52 +0000 2025","0","@didiek_murdock ada yg sepemikiran ternyata kalo bahlil mirip Smeagol","1982259099988603011","","didiek_murdock","in","","0","0","0","https://x.com/undefined/status/1982259099988603011","515265372",
"1982258955155042525","Sun Oct 26 01:32:18 +0000 2025","0","bener2 perihh lidahkuu jirr apaa ak di adzab karna ngontol2in bahlil ymaapin pak uda dong sakit bgt ini","1982258955155042525","","","in","","0","0","0","https://x.com/undefined/status/1982258955155042525","1494859735559913476",
"1982256576217145708","Sun Oct 26 01:32:05 +0000 2025","0","Orang-orang kagak jelas kaya Budie arie Bahlil dan beberapa orang lain itu bisa jadi menteri modal jadi Projo belum orang ga capable banyak jadi komisaris ya dimulainya era Jokowi bener-bener bajingan","1982258901195395460","","fallingmonstar","in","","0","1","0","https://x.com/undefined/status/1982258901195395460","1490361012062547968",
"1982029068427288962","Sun Oct 26 01:31:41 +0000 2025","1","@Koruptor_keDUA @yaniarsim Gus Bahlil Alpapuani","1982258800527904969","","Koruptor_keDUA","in","","0","0","0","https://x.com/undefined/status/1982258800527904969","1635083361718013952",
"1981891459113521502","Sun Oct 26 01:31:28 +0000 2025","0","@txtdrimedia Kalau Bahlil ini masuk golongan udah jelek tolol pula ","1982258745905422581","","txtdrimedia","in","","0","0","0","https://x.com/undefined/status/1982258745905422581","1897985755676655618",
"1982258532532822126","Sun Oct 26 01:30:37 +0000 2025","0","Emang ada yang mau nyium bau si bahlil?","1982258532532822126","","","in","","0","0","0","https://x.com/undefined/status/1982258532532822126","1098601465050992640",
"1982029068427288962","Sun Oct 26 01:30:19 +0000 2025","1","@marilah_kemari @yaniarsim Bahlil mendunia","1982258459522560293","","marilah_kemari","in","","0","0","0","https://x.com/undefined/status/1982258459522560293","1635083361718013952",
"1982029068427288962","Sun Oct 26 01:28:12 +0000 2025","1","@Koruptor_keDUA @yaniarsim kalau yang ini bukan abah bahli tapi gus bahlil. memang orangnya agak mirip. ","1982257926015431125","","Koruptor_keDUA","in","","0","0","0","https://x.com/undefined/status/1982257926015431125","1683830632680665088",
"1982130031364284443","Sun Oct 26 01:26:43 +0000 2025","0","@xemarang aku ngucapin krna lewat TL dan takut mimpiin bahlil so happy bday ya! wish u all the best","1982257551002739126","","xemarang","in","","0","0","0","https://x.com/undefined/status/1982257551002739126","1918613243221966848",
"1981638609838195120","Sun Oct 26 01:26:35 +0000 2025","0","@aylashuuu @didiek_murdock kita sefrekuensi kalau soal bahlil","1982257519834673585","","aylashuuu","in","","0","0","0","https://x.com/undefined/status/1982257519834673585","1958731238",
"1982257292537204746","Sun Oct 26 01:25:41 +0000 2025","1","Tapi pak bahlil gatau etika ke rakyat","1982257292537204746","","","in","","0","0","0","https://x.com/undefined/status/1982257292537204746","1387426130769051649",
"1982257168436130272","Sun Oct 26 01:25:12 +0000 2025","0","aku pengen ngatain bahlil ","1982257168436130272","","","in","","0","0","0","https://x.com/undefined/status/1982257168436130272","709286364936667138",
"1981992604863725660","Sun Oct 26 01:24:55 +0000 2025","0","@randomable_ @Loveinloveyz Bahlil ketum parpol ndak mungkin kena resafel.","1982257096981942611","","randomable_","in","","0","0","0","https://x.com/undefined/status/1982257096981942611","1697538249504501760",
"1982256505639579804","Sun Oct 26 01:22:34 +0000 2025","0","semua salah bahlil","1982256505639579804","","","in","","0","1","0","https://x.com/undefined/status/1982256505639579804","1551416672145133569",
"1982229053777363185","Sun Oct 26 01:21:52 +0000 2025","0","@pikachuih Bahlil kah anda terkenal?","1982256331051376724","","pikachuih","in","","0","1","0","https://x.com/undefined/status/1982256331051376724","1135331256676245504",
"1981661956932022588","Sun Oct 26 01:21:40 +0000 2025","0","@tempodotco Bahlil tolol","1982256281361822079","","tempodotco","in","","0","0","0","https://x.com/undefined/status/1982256281361822079","1262353194916515840",
"1982256014327201941","Sun Oct 26 01:20:37 +0000 2025","0","Bahlil anjing gas 3kg 25rebuan apaan","1982256014327201941","","","in","","0","0","0","https://x.com/undefined/status/1982256014327201941","1888811627434446848",
"1982255780666777897","Sun Oct 26 01:19:41 +0000 2025","0","ga bahas yg ganteng belum tentu cerdas hati masyarakat: lu udah jelek menyengsarakan rakyat Bahlil","1982255780666777897","","","in","","0","0","0","https://x.com/undefined/status/1982255780666777897","1673168678",
"1982251823701303624","Sun Oct 26 01:19:32 +0000 2025","0","@noteschoco ad pa bahlil di belakang tu","1982255744331465064","","noteschoco","in","","0","0","0","https://x.com/undefined/status/1982255744331465064","1770843836345880576",
"1982255091097977203","Sun Oct 26 01:16:56 +0000 2025","0","oh benar Timur Tengah punya Kahlil Gibran Indonesia punya Bahlil Gibran -_-","1982255091097977203","","","in","","0","0","0","https://x.com/undefined/status/1982255091097977203","1908040741806551040",
"1982250828774981676","Sun Oct 26 01:16:43 +0000 2025","0","@ARSIPAJA bahlil tau etika* tp *syarat &amp; ketentuan berlaku","1982255035745747442","","ARSIPAJA","in","","0","0","0","https://x.com/undefined/status/1982255035745747442","999280082",
